,American Indian population,Asian population,Average Adjusted Gross Income (AGI) in 2012,Average household size,Black population,Estimated zip code population in 2013,Females,Hispanic or Latino population,Houses and condos,Land area,Males,Mar. 2016 cost of living index in zip code,Median resident age,Native Hawaiian and Other Pacific Islander population,Population density (people per square mile),Renter-occupied apartments,Residents with income below 50% of the poverty level in 2013,Salary/wage,Some other race population,Two or more races population,Water area,White population,Zip,Zip code population in 2000,Zip code population in 2010
0,170.0,7845.0,62062.0,1.6,4174.0,25881.0,10851.0,5893.0,18713.0,0.7,15030.0,188.3,43.3,113.0,38579.0,14161.0,17.2,56042.0,116.0,1059.0,0.0,11806.0,94102.0,28991.0,31176.0
0,225.0,6887.0,113505.0,1.9,2822.0,23907.0,10147.0,5941.0,14322.0,1.4,13760.0,164.7,40.2,86.0,17630.0,9496.0,16.0,88432.0,93.0,875.0,0.0,10241.0,94103.0,23016.0,27170.0
0,1.0,226.0,589455.0,1.4,12.0,211.0,124.0,31.0,275.0,0.1,87.0,176.6,55.1,0.0,2719.0,103.0,13.7,181232.0,0.0,4.0,0.0,132.0,94104.0,374.0,406.0
0,15.0,2027.0,325864.0,1.6,124.0,5553.0,2540.0,347.0,4651.0,0.4,3013.0,148.3,35.6,19.0,15033.0,1630.0,3.5,200577.0,16.0,224.0,0.1,3074.0,94105.0,2058.0,5846.0
0,69.0,6389.0,167964.0,2.0,1706.0,27856.0,13372.0,2761.0,14829.0,1.8,14484.0,152.1,36.4,147.0,15546.0,7965.0,5.2,131602.0,128.0,990.0,0.1,14409.0,94107.0,17368.0,26599.0
0,21.0,7933.0,141881.0,1.8,239.0,13709.0,6816.0,813.0,8554.0,0.3,6893.0,186.4,44.4,23.0,50764.0,6725.0,16.8,66404.0,25.0,289.0,0.0,4425.0,94108.0,13716.0,13768.0
0,182.0,15150.0,106762.0,1.6,2108.0,55519.0,27666.0,6122.0,36850.0,1.2,27853.0,161.3,37.0,90.0,46737.0,28151.0,7.8,85893.0,191.0,1886.0,0.1,30255.0,94109.0,56322.0,55984.0
0,190.0,8615.0,88157.0,2.6,2251.0,72128.0,34626.0,26595.0,29276.0,2.3,37502.0,156.2,36.0,190.0,31018.0,17838.0,7.1,76793.0,202.0,2165.0,0.0,29125.0,94110.0,74633.0,69333.0
0,3.0,1350.0,656958.0,1.6,82.0,3496.0,1708.0,193.0,2643.0,0.3,1788.0,159.9,48.3,2.0,10160.0,1630.0,3.8,139675.0,4.0,63.0,0.2,2016.0,94111.0,3335.0,3713.0
0,111.0,38982.0,48392.0,3.6,3090.0,82726.0,41611.0,23158.0,23498.0,3.4,41115.0,153.8,41.1,259.0,24592.0,7826.0,6.3,46057.0,191.0,1608.0,0.0,12008.0,94112.0,73104.0,79407.0
0,68.0,3177.0,209939.0,1.9,566.0,31397.0,12512.0,2936.0,17880.0,1.4,18885.0,156.3,41.0,37.0,22028.0,8868.0,2.9,156770.0,137.0,1172.0,0.0,23031.0,94114.0,30574.0,31124.0
0,51.0,6202.0,202926.0,1.9,4042.0,33782.0,18049.0,2618.0,18968.0,1.1,15733.0,163.6,37.7,86.0,30278.0,13866.0,6.5,113967.0,110.0,1214.0,0.0,18698.0,94115.0,33115.0,33021.0
0,57.0,23862.0,81793.0,2.9,480.0,45157.0,24064.0,2656.0,16194.0,2.6,21093.0,155.8,43.5,62.0,17465.0,5173.0,6.6,70886.0,90.0,1291.0,0.0,15200.0,94116.0,42958.0,43698.0
0,100.0,4238.0,134270.0,2.1,2327.0,41568.0,19067.0,3910.0,19568.0,1.7,22501.0,158.1,32.9,62.0,24633.0,13678.0,5.0,100527.0,120.0,1754.0,0.0,26658.0,94117.0,38738.0,39169.0
0,47.0,13388.0,183317.0,2.3,614.0,40292.0,21126.0,2443.0,18649.0,1.9,19166.0,162.9,38.1,62.0,20675.0,11719.0,5.0,106678.0,170.0,1430.0,0.0,20165.0,94118.0,38939.0,38319.0
0,66.0,18711.0,100294.0,2.4,662.0,42104.0,21479.0,2518.0,18837.0,3.1,20625.0,161.4,42.0,44.0,13662.0,10304.0,5.6,74869.0,145.0,1487.0,0.0,17570.0,94121.0,42473.0,41203.0
0,65.0,27278.0,74152.0,2.6,775.0,57369.0,29195.0,3426.0,23459.0,2.4,28174.0,157.4,39.9,81.0,24269.0,11969.0,4.5,67273.0,204.0,1893.0,0.0,22301.0,94122.0,55492.0,56023.0
0,21.0,2407.0,249404.0,1.7,168.0,24500.0,12993.0,1255.0,15349.0,1.0,11507.0,157.0,35.4,20.0,24005.0,9928.0,2.5,175447.0,79.0,586.0,0.1,18552.0,94123.0,22903.0,23088.0
0,99.0,10329.0,38638.0,3.4,11170.0,35309.0,17588.0,8481.0,11096.0,4.9,17721.0,153.4,34.5,875.0,7167.0,5321.0,12.9,36551.0,53.0,1045.0,1.1,1944.0,94124.0,33170.0,33996.0
0,24.0,5341.0,158955.0,2.6,622.0,19576.0,9450.0,1711.0,7659.0,1.8,10126.0,153.6,45.4,26.0,11057.0,1317.0,2.7,123220.0,84.0,841.0,0.0,10640.0,94127.0,20624.0,19289.0
0,8.0,249.0,292752.0,2.6,66.0,2787.0,1336.0,249.0,1216.0,2.3,1451.0,145.7,31.4,21.0,1209.0,1034.0,0.7,126798.0,10.0,159.0,0.0,2421.0,94129.0,2228.0,3183.0
0,16.0,518.0,33408.0,3.2,676.0,2654.0,1174.0,663.0,878.0,0.9,1480.0,143.6,27.0,22.0,2883.0,618.0,14.7,32287.0,8.0,193.0,0.0,784.0,94130.0,1453.0,2880.0
0,61.0,4910.0,136207.0,2.0,1186.0,26908.0,12686.0,3389.0,13787.0,2.1,14222.0,156.4,42.6,47.0,12939.0,5946.0,3.0,123338.0,84.0,1060.0,0.0,16144.0,94131.0,27897.0,26881.0
0,67.0,11367.0,67468.0,2.8,2348.0,31080.0,16098.0,3270.0,11227.0,3.1,14982.0,160.5,34.8,85.0,9993.0,5946.0,5.7,59520.0,100.0,1122.0,0.5,9770.0,94132.0,26291.0,28129.0
0,20.0,13530.0,107838.0,2.1,553.0,27970.0,13935.0,1310.0,14987.0,0.8,14035.0,175.1,40.4,41.0,37044.0,11268.0,10.3,76148.0,48.0,534.0,0.2,10201.0,94133.0,26827.0,26237.0
0,62.0,22858.0,44992.0,3.4,3749.0,38815.0,19929.0,8736.0,12088.0,2.4,18886.0,155.0,40.6,612.0,16175.0,4511.0,6.6,42648.0,77.0,926.0,0.0,3778.0,94134.0,40134.0,40798.0
